type,transactionHash,blockNumber,amount,amount0,amount1,user
mint,0x67f5e539df7abdd1354ec934d3a05ee697ba36955aab7da093b77ab9a6afa608,39742928,356903738000,356903738,21924422456315856,0x5a0539b9364e377c18cb8cb15147c37fa4195b1c
mint,0x36081c05e9c7529c2595e33ef501d269186698cc29d30d92a18b2335246a286c,39960321,10254625937694,1262517298,5116575577543684144,0x5a0539b9364e377c18cb8cb15147c37fa4195b1c
burn,0x388dc0408c78a1baf3b7922b5006d85743996c1e2992da3195dca58a923312d0,40304087,10611529675694,1282994539,5391483285868270367,0x5a0539b9364e377c18cb8cb15147c37fa4195b1c
