type,transactionHash,blockNumber,amount,amount0,amount1,user
collect,0xa084777d6b329f6e13ac4775a4367970d3e23377ea2d717e978e72b19b77b0db,39562715,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xff77a15d5229641924327c03f08d50aecfbf5aabeafaea16e30f8b408652592e,39562953,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x9d463bc1747e94cbfc0415fc27da6d696221bf764bf4064f70ba19da87bcd848,39575383,0,0,0,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0x56c99c771f841ca7d6b8893e8f3c3291fe48bdfb42203ae4d40ca15f24690d83,39610744,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xb7155e8b413db82e3b94d716975086e334d0726ee004308a785391f865b0d756,39610758,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x294c530ea385e90d076f8b26b093af7ae54e2fa6b4449e3b9a91c3db9c00d45b,39610825,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x53b045bf6e87ed207101c617d6fcad04655e78c7058e5a8a2c6f96b61cf7645c,39611537,0,0,0,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0xb17d2152569d98bd0f199c9a1c7b7503b3a3f8b1205b053efbe9a6bf53740e31,39622649,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x237d5ff7403d875fb3ee1e13a29432a386bd738d8d2ad7f0c2e67fb9ffebeaa4,39622657,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xf9342d8615ce8625eb7c5c0f5e28a9ed44b5133f691d8f2d57c92264f855d39f,39622790,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x96d630a3d1edbdf17e47886e6aeb6829153ef199d826b5075efdf3555e8e75d8,39634572,0,0,0,0x091e3b88f487982641d11868b798fbc83a78dbfa
collect,0x01a8dac9eee6bb22d50d21e335adef4ca69de487f94a8d6a96c4187d82a8b4a2,39642869,0,21948,28321998092460,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0x09257e99b0b2f15abb3fca8238e3ce18685398d7c5ac27e7dc16e17c12c019bb,39643637,0,2436,147076155016008,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0xba0e1ec795e4d785d9131c8482bdedcb9052de777f58320f32673fbd81cacb1a,39644021,0,33430,74698761920965,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0xdbba3f1c00ac3301acb9f62975d694494490c7c4fadfc6e51ff1532d228be92e,39650272,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x78be8a8e5875f39158206183bf8d2a2facddf606c81538b56bb978f6013c6f21,39650337,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x2d3ff7b3009f76905b7adea76b76274898d3dac18c64adfcb4405fc207b25a5a,39924037,0,0,0,0x825e8cb8ec734e78283bca295a32ea44c53d359e
collect,0x16eacc83a8c221f91b29445ca3580fd29741332d212c1aef94393ef0f208ebfd,39996107,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x7ddda6b41acd64f0273c313796ba83980d6698148b0538c5f99b2ba651ee0887,39996202,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x2a87ea55442dba1c501e3cab598bf75a8bf4f51003153b882c0da99fd1c2cba0,40001704,0,336254,1924190215791807,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0x9060d5c0c568090ed4afc1ab2c598913fbf12934a51c9613903ab2a1aecc3c22,40001714,0,23822,150834879816678,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0x3316ed9c6c1132b9b1c6a8a5d2229ac3e59002fb692051a49cb1fefe2db71abf,40001744,0,0,0,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0x04f7ff44356e0fb239ab3d37012afb33ae27cb6a4e005e7ae308547ec74bd0eb,40062663,0,0,0,0x825e8cb8ec734e78283bca295a32ea44c53d359e
collect,0x3e08e0d4ecf28c5841baa8a9163864e855b28481251f31044a2f24432e5dd338,40082930,0,68,0,0x825e8cb8ec734e78283bca295a32ea44c53d359e
collect,0xc687bb43078ab9a96ccac7d0b0557dd1a44f534d95fe3746122ff2f30712fe43,40129048,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x54722cf96b5771a0327f8e7031c0c6d706219587193482d3bcaf2a69322d4716,40129070,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xabc65249d6a29d0560c38813d0f2d5a61647870cc3243a039b7b7ef227792a1a,40177505,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xa194be42f92ac6b79e901efe0af6c68aa07550f5c499fe6ae24d4ce7ec542136,40177543,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x873c34914e739d6c3fadf1903b98e8f6f312573e3309995967022ab8748c969a,40181375,0,0,0,0x825e8cb8ec734e78283bca295a32ea44c53d359e
collect,0x4dd3fb56504f03e32621155b5d62b6e36492da4fab9976a4ff2e1ca40a0097bd,40212391,0,45495,629493336834981,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
