type,transactionHash,blockNumber,amount,amount0,amount1,user
mint,0x037bd824cb8bd757de3608eafa911480ea257a46896f3bf5b5a9213bbf9819ef,39557809,304134807733716023,90000000000000000,1027755347502500227,0xeee7fb850d28f5cabd5f1edf540646b5bea17ce5
mint,0xaf6f183acd4df884954e1ea83cb57c303c89a25dc338c54000d433eef593e8c8,39572635,85386336804475308,24999999999999999,291633060515491826,0x937793ab079ba9a6019e6239db1593c0c4c2461d
mint,0x6f09206df59345f8d16e75f0a32c521e7c81cc9e1800fd7d595eb4bcb6b74309,39643606,122304519790533581,34630498307626849,431942833404122901,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
burn,0x134cb9181733b67f3ea07f2e3afe25ef53ff82647b18a4faf840aaa48333b906,39689231,85386336804475308,24504961922481923,297524498750531582,0x937793ab079ba9a6019e6239db1593c0c4c2461d
